ID,NAME,DESCRIPTION,HOLDER,ADJECTIVES,SYNONYMS,N ,NE,E,SE,S,SW,W,NW,U,D,FLAGS,SUBROUTINE
0,offscreen,,0,,,,,,,,,,,,,,
1,rooms,,0,,,,,,,,,,,,,,
2,kitchen,Kitchen,1,,,3,,4,,,,,,,,,
3,room,Living room,1,"living,sitting",area,,,,4,2,,,,,,,
4,bathroom,Bathrom,1,bath,"toilet,bath,loo",,,,,,,2,3,,,,
5,sword,rusty sword,2,"rusty,old,iron",blade,,,,,,,,,,,Weapon,
6,house,white house,1,"white,colonial,big",,,,,,,,,,,,,
7,mailbox,small mailbox,3,small,,,,,,,,,,,,Container,
8,door,iron door,2,iron,doorway,,,,,,,,,,,,
9,table,wooden table,3,wooden,bench,,,,,,,,,,,,
10,key,red key,4,red,,,,,,,,,,,,,RedKeyF
11,key,blue key,4,blue,,,,,,,,,,,,,BlueKeyF
12,book,enchanted book,3,enchanted,,,,,,,,,,,,,
